target_id,name,country_resident,red,green,blue
702,navy,us,24,75,114
625,teal,gb,46,106,107
725,blue,us,53,137,110
1086,pink,us,226,100,203
1084,light purple,us,194,115,233
553,black,us,43,22,33
1066,pink,gb,199,0,45
823,pink,us,148,70,106
1021,pink,us,217,113,175
1138,pink,us,0,0,0
758,blue,us,95,190,187
864,pink,us,205,125,145
789,brick,gb,96,23,0
723,green,us,69,136,95
659,yellow,us,212,203,145
881,teal,us,76,223,207
810,green,us,57,109,20
1121,purple,gb,167,71,244
741,dusty rose,us,223,158,159
550,black,us,12,30,40
984,plum,us,75,18,108
649,blue grey,us,142,147,175
869,yellow,us,228,201,89
723,green,nz,69,136,95
897,purple,gb,50,0,73
827,salmon,us,211,124,120
633,mauve,us,127,85,96
564,burnt sienna,us,140,117,114
634,pink,us,181,138,139
546,green,us,33,28,8
891,bubblegum pink,gb,238,184,237
943,gold,us,226,164,51
1050,mauve,us,177,86,182
1019,purple,us,197,121,200
937,red,gb,255,143,137
754,,us,113,191,153
602,green,us,21,56,38
912,purple,us,131,29,88
1029,green,us,110,227,99
669,lilac,us,193,201,228
1128,magenta,gb,246,53,254
744,peach,us,225,160,128
1109,blue,gb,60,75,229
1045,blue,gb,0,125,220
1010,orange,us,211,130,0
660,green,us,201,206,147
936,salmon,us,253,143,148
1108,indigo,us,47,0,160
1124,magenta,gb,222,0,197
620,army green,us,95,101,51
989,red,us,178,45,74
1029,lime,gb,110,227,99
923,green,us,42,141,47
722,grass green,gb,96,133,69
1120,bright purple,us,134,86,255
700,forest green,us,0,84,63
701,blue,us,0,79,110
533,black,gb,0,0,0
1078,rose,gb,255,81,111
1092,purple,us,91,32,175
844,green,gb,36,168,131
683,royal purple,us,53,9,48
908,purple,gb,103,48,123
712,pink,gb,171,104,101
1072,magenta,gb,157,45,164
855,light blue,gb,112,150,204
930,mauve,gb,162,100,165
753,pastel green,us,122,190,143
633,brown,us,127,85,96
968,pink,us,247,144,171
817,purple,gb,99,88,148
1049,purple,us,162,93,193
580,blue gray,us,159,178,185
1119,purple,au,99,0,194
993,blue,gb,0,98,178
638,khaki,gb,169,146,100
626,turquoise,us,48,105,116
615,brown,us,131,85,79
672,pale pink,us,225,193,208
600,brown,gb,47,52,12
980,teal,us,23,255,222
828,flesh,us,212,125,110
727,aqua,us,35,136,130
1041,red,us,219,64,92
811,forest green,us,34,111,41
1083,violet,gb,178,120,244
635,taupe,gb,183,138,130
1029,lime,us,110,227,99
975,green,us,152,253,137
794,purple,au,72,31,86
1126,violet,us,119,43,234
802,maroon,us,157,69,70
1089,pink,us,255,83,147
1108,royal blue,gb,47,0,160
654,pink,us,235,191,191
1000,rose,us,161,55,126
607,dark blue,gb,5,53,72
876,mint,us,124,222,155
702,blue,us,24,75,114
985,purple,gb,83,9,103
753,mint,us,122,190,143
782,sky blue,us,136,248,241
1043,red,us,219,68,53
