target_id,name,country_resident,red,green,blue
1079,red,GB,255,84,91
745,sand,US,221,163,119
742,peach,US,225,158,153
582,grey,GB,182,172,182
740,mauve,GB,166,105,121
708,dark pink,US,107,54,88
618,tan,US,116,94,51
949,lime green,GB,155,188,39
679,dark blue,US,22,23,65
783,light pink,AU,255,216,255
828,brick,US,212,125,110
794,dark purple,GB,72,31,86
620,khaki,AU,95,101,51
657,,US,232,195,159
997,pink,US,131,71,156
806,burnt orange,GB,146,80,27
552,dark purple,US,37,23,40
1111,purple,GB,139,44,204
1007,tangerine,GB,235,112,66
1004,salmon,US,237,106,119
1126,purple,US,119,43,234
675,maroon,US,63,1,27
539,gray,US,148,149,148
682,black,GB,48,12,53
747,yellow,US,205,171,99
744,peach,US,225,160,128
720,green,US,120,128,48
1010,orange,GB,211,130,0
1060,pink,US,255,131,206
1088,pink,US,248,87,163
757,blue,GB,97,191,180
754,mint,GB,113,191,153
1031,light green,US,0,231,160
691,brown,GB,105,62,17
934,pink,GB,191,88,121
919,burnt orange,GB,191,96,42
601,green,GB,34,54,26
1080,salmon,US,255,88,64
580,gray,US,159,178,185
702,navy,US,24,75,114
625,teal,GB,46,106,107
725,blue,US,53,137,110
1086,pink,US,226,100,203
1084,light purple,US,194,115,233
553,black,US,43,22,33
1066,pink,GB,199,0,45
823,pink,US,148,70,106
1021,pink,US,217,113,175
1138,pink,US,0,0,0
758,blue,US,95,190,187
864,pink,US,205,125,145
789,brick,GB,96,23,0
723,green,US,69,136,95
659,yellow,US,212,203,145
881,teal,US,76,223,207
810,green,US,57,109,20
1121,purple,GB,167,71,244
741,dusty rose,US,223,158,159
550,black,US,12,30,40
984,plum,US,75,18,108
649,blue grey,US,142,147,175
869,yellow,US,228,201,89
723,green,NZ,69,136,95
897,purple,GB,50,0,73
827,salmon,US,211,124,120
633,mauve,US,127,85,96
564,burnt sienna,US,140,117,114
634,pink,US,181,138,139
546,green,US,33,28,8
891,bubblegum pink,GB,238,184,237
943,gold,US,226,164,51
1050,mauve,US,177,86,182
1019,purple,US,197,121,200
937,red,GB,255,143,137
754,,US,113,191,153
602,green,US,21,56,38
912,purple,US,131,29,88
1029,green,US,110,227,99
669,lilac,US,193,201,228
1128,magenta,GB,246,53,254
744,peach,US,225,160,128
1109,blue,GB,60,75,229
1045,blue,GB,0,125,220
1010,orange,US,211,130,0
660,green,US,201,206,147
936,salmon,US,253,143,148
1108,indigo,US,47,0,160
